NAICS Codes,NAICS Industry Description,"Size standards 
in millions of dollars",Size standards in number of employees,Footnotes
,"Sector 71 – Arts, Entertainment and Recreation",,,
"Subsector 711 – Performing Arts, Spectator Sports and Related Industries",,,,
711110,Theater Companies and Dinner Theaters,$25.0,,
711120,Dance Companies,$18.0,,
711130,Musical Groups and Artists,$15.0,,
711190,Other Performing Arts Companies,$34.0,,
711211,Sports Teams and Clubs,$47.0,,
711212,Race Tracks,$47.0,,
711219,Other Spectator Sports,$16.5,,
711310,"Promoters of Performing Arts, Sports and Similar Events with Facilities",$40.0,,
711320,"Promoters of Performing Arts, Sports and Similar Events without Facilities",$22.0,,
711410,"Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures",$17.5,,
711510,"Independent Artists, Writers, and Performers",$9.0,,
"Subsector 712 – Museums, Historical Sites and Similar Institutions",,,,
712110,Museums,$34.0,,
712120,Historical Sites,$13.0,,
712130,Zoos and Botanical Gardens,$34.0,,
712190,Nature Parks and Other Similar Institutions  ,$19.5,,
"Subsector 713 – Amusement, Gambling and Recreation Industries",,,,
713110,Amusement and Theme Parks,$47.0,,
713120,Amusement Arcades,$9.0,,
713210,Casinos (except Casino Hotels),$34.0,,
713290,Other Gambling Industries,$40.0,,
713910,Golf Courses and Country Clubs,$19.0,,
713920,Skiing Facilities,$35.0,,
713930,Marinas,$11.0,,
713940,Fitness and Recreational Sports Centers,$17.5,,
713950,Bowling Centers,$12.5,,
713990,All Other Amusement and Recreation Industries,$9.0,,
,Sector 72 – Accommodation and Food Services,,,
Subsector 721 – Accommodation,,,,
721110,Hotels (except Casino Hotels) and Motels,$40.0,,
721120,Casino Hotels,$40.0,,
721191,Bed‑and‑Breakfast Inns,$9.0,,
721199,All Other Traveler Accommodation,$9.0,,
721211,RV (Recreational Vehicle) Parks and Campgrounds  ,$10.0,,
721214,Recreational and Vacation Camps (except Campgrounds),$9.0,,
721310,"Rooming and Boarding Houses, Dormitories, and Workers’ Camps",$14.0,,
Subsector 722 – Food Services and Drinking Places,,,,
722310,Food Service Contractors,$47.0,,
722320,Caterers,$9.0,,
722330,Mobile Food Services,$9.0,,
722410,Drinking Places (Alcoholic Beverages),$9.0,,
722511,Full-Service Restaurants,$11.5,,
722513,Limited-Service Restaurants,$13.5,,
722514,"Cafeterias, Grill Buffets, and Buffets",$34.0,,
722515,Snack and Nonalcoholic Beverage Bars,$22.5,,
,Sector 81 – Other Services (except Public Administration),,,
Subsector 811 – Repair and Maintenance,,,,
811111,General Automotive Repair,$9.0,,
811114,Specialized Automotive Repair,$9.0,,
811121,"Automotive Body, Paint and Interior Repair and Maintenance",$9.0,,
811122,Automotive Glass Replacement Shops,$17.5,,
811191,Automotive Oil Change and Lubrication Shops  ,$11.0,,
811192,Car Washes,$9.0,,
811198,All Other Automotive Repair and Maintenance,$10.0,,
811210,Electronic and Precision Equipment Repair and Maintenance,$34.0,,
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,$12.5,,
811411,Home and Garden Equipment Repair and Maintenance,$9.0,,
811412,Appliance Repair and Maintenance,$19.0,,
811420,Reupholstery and Furniture Repair,$9.0,,
811430,Footwear and Leather Goods Repair,$9.0,,
811490,Other Personal and Household Goods Repair and Maintenance,$9.0,,
Subsector 812 – Personal and Laundry Services,,,,
812111,Barber Shops,$9.5,,
812112,Beauty Salons,$9.5,,
812113,Nail Salons,$9.0,,
812191,Diet and Weight Reducing Centers,$27.5,,
812199,Other Personal Care Services,$9.0,,
812210,Funeral Homes and Funeral Services,$12.5,,
812220,Cemeteries and Crematories,$25.0,,
812310,Coin‑Operated Laundries and Drycleaners,$13.0,,
812320,Drycleaning and Laundry Services (except Coin‑Operated),$8.0,,
812331,Linen Supply,$40.0,,
812332,Industrial Launderers,$47.0,,
812910,Pet Care (except Veterinary) Services,$9.0,,
812921,Photofinishing Laboratories (except One‑Hour),$29.5,,
812922,One‑Hour Photofinishing,$19.0,,
812930,Parking Lots and Garages,$47.0,,
812990,All Other Personal Services,$15.0,,
"Subsector 813 – Religious, Grantmaking, Civic, Professional and Similar Organizations",,,,
813110,Religious Organizations,$13.0,,
813211,Grantmaking Foundations,$40.0,,
813212,Voluntary Health Organizations,$34.0,,
813219,Other Grantmaking and Giving Services,$47.0,,
813311,Human Rights Organizations,$34.0,,
813312,"Environment, Conservation and Wildlife Organizations",$19.5,,
813319,Other Social Advocacy Organizations,$18.0,,
813410,Civic and Social Organizations,$9.5,,
813910,Business Associations,$15.5,,
813920,Professional Organizations,$23.5,,
813930,Labor Unions and Similar Labor Organizations ,$16.5,,
813940,Political Organizations,$14.0,,
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) ",$13.5,,
,Sector 92 – Public Administration,,,See footnote 17
,"(Small business size standards are not established for this Sector.  Establishments in the Public Administration Sector are Federal, state, and local government agencies which administer and oversee government programs and activities that are not performed by private establishments.)",,,
